单词,条件,M1-1,無声化,M1-2,無声化,M1-3,無声化,F1-1,無声化,F1-2,無声化,F1-3,無声化,M2-1,無声化,M2-2,無声化,M2-3,無声化,M3-1,無声化,M3-2,無声化,M3-3,無声化,F2-1,無声化,F2-2,無声化,F2-3,無声化,F3-1,無声化,F3-2,無声化,F3-3,無声化
nantin,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,无,,nan,,nan,,nan,,nan,,nan,
nawtʃʰitʰ,naw,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,,naw,
naxia,na+x,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,
næxlax,næx,næx,,na+x,,na+x,,næx,,næx,,næx,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,na+x,,næx,,næx,,næx,
nakaː,na+k,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,,na+k,
naktʃkar,nak,nak,,nak,,nak,,nak,,nak,,nak,,nak,,nak,,nak,,nan,,nan,,nan,,nak,,nak,,nak,,nak,,nak,,nak,
namaː,na+m,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,,na+m,
namtʰar,nam,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,,nam,
nalʊː,na+l,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,,na+l,
nalkar,nal,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,,nal,
nastʰan,nas,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,,nas,
nasaːn,na+s,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,,na+s,
natʰkax,natʰ,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,,natʰ,全,natʰ,,natʰ,,natʰ,半,natʰ,
nataːr,na+t,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,,na+t,
nattʰæː,nat,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,,nat,
natʃʰɪn,na+tʃʰ,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,全,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,,na+tʃʰ,
natʃkai,natʃ,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,,natʃ,
najaːd,na+j,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,,na+j,
najtʊkaːr,naj,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,,naj,
narʃɪx,nar,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,,nar,
naraːn,na+r,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,,na+r,
nærʲɪn,næ+r,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,,næ+r,
næŋkʲad,næŋ,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,,næŋ,
