人	重	元音	无声化	无声化（二进制）	音节（说的）	音节（预期）	词	前辅音（预期）	後辅音（预期）	前辅音（说的）	後辅音（说的）	笔记	怎么办？	Exclude
F1	1	a		FALSE	nɐn	nɐn	nɐntin	n	n	n	n			
F1	1	a		FALSE	nɐw	nɐw	nɐwtʃʰitʰ	n	w	n	w			
F1	1	a		FALSE	nɐ+x	nɐ+x	nɐxiɐ	n	+x	n	+x			
F1	1	æ		FALSE	næx	næx	næxlɐx	n	x	n	x			
F1	1	a		FALSE	nɐ+k	nɐ+k	nɐkɐː	n	+k	n	+k			
F1	1	a		FALSE	nɐk	nɐk	nɐktʃkɐr	n	k	n	k			
F1	1	a		FALSE	nɐ+m	nɐ+m	nɐmɐː	n	+m	n	+m			
F1	1	a		FALSE	nɐm	nɐm	nɐmtʰɐr	n	m	n	m			
F1	1	a		FALSE	nɐ+l	nɐ+l	nɐlʊː	n	+l	n	+l			
F1	1	a		FALSE	nɐl	nɐl	nɐlkɐr	n	l	n	l			
F1	1	a		FALSE	nɐs	nɐs	nɐstʰɐn	n	s	n	s			
F1	1	a		FALSE	nɐ+s	nɐ+s	nɐsɐːn	n	+s	n	+s			
F1	1	a		FALSE	nɐtʰ	nɐtʰ	nɐtʰkɐx	n	tʰ	n	tʰ			
F1	1	a		FALSE	nɐ+t	nɐ+t	nɐtɐːr	n	+t	n	+t			
F1	1	a		FALSE	nɐt	nɐt	nɐttʰæː	n	t	n	t			
F1	1	a		FALSE	nɐ+tʃʰ	nɐ+tʃʰ	nɐtʃʰɪn	n	+tʃʰ	n	+tʃʰ			
F1	1	a		FALSE	nɐtʃ	nɐtʃ	nɐtʃkɐi	n	tʃ	n	tʃ			
F1	1	a		FALSE	nɐ+j	nɐ+j	nɐjɐːd	n	+j	n	+j			
F1	1	a		FALSE	nɐj	nɐj	nɐjtʊkɐːr	n	j	n	j			
F1	1	a		FALSE	nɐr	nɐr	nɐrʃɪx	n	r	n	r			
F1	1	a		FALSE	nɐ+r	nɐ+r	nɐrɐːn	n	+r	n	+r			
F1	1	æ		FALSE	næ+r	næ+r	nærʲɪn	n	+r	n	+r			
F1	1	æ		FALSE	næŋ	næŋ	næŋkʲɐd	n	ŋ	n	ŋ			
F1	1	ǝ		FALSE	nǝw	nǝw	nǝwtʰǝrxeː	n	w	n	w			
F1	1	ǝ		FALSE	nǝx	nǝx	nǝxmǝl	n	x	n	x			
F1	1	ǝ		FALSE	nǝ+x	nǝ+x	nǝxǝx	n	+x	n	+x			
F1	1	ǝ		FALSE	nǝ+k	nǝ+k	nǝkǝntʰ	n	+k	n	+k			
F1	1	ǝ		FALSE	nǝk	nǝk	nǝktukǝːr	n	k	n	k			
F1	1	ǝ		FALSE	nǝ+m	nǝ+m	nǝmǝx	n	+m	n	+m			
F1	1	ǝ		FALSE	nǝm	nǝm	nǝmnǝx	n	m	n	m			
F1	1	ǝ		FALSE	nǝ+l	nǝ+l	nǝlǝːt	n	+l	n	+l			
F1	1	ǝ		FALSE	nǝl	nǝl	nǝlkǝr	n	l	n	l			
F1	1	ǝ		FALSE	nǝr	nǝs	nǝsruːn	n	s	n	r			
F1	1	ǝ		FALSE	nǝtʰ	nǝtʰ	nǝtʰkǝr	n	tʰ	n	tʰ			
F1	1	ǝ		FALSE	nǝ+tʰ	nǝ+tʰ	nǝtʰiːx	n	+tʰ	n	+tʰ			
F1	1	ǝ		FALSE	nǝ+r	nǝ+r	nǝrǝx	n	+r	n	+r			
F1	1	ǝ		FALSE	nǝr	nǝr	nǝrlǝx	n	r	n	r			
F1	1	ǝ		FALSE	nǝn	nǝŋ	nǝŋtʃɪx	n	ŋ	n	n			
F1	1	i		FALSE	niw	niw	niwʃɪrtʰǝl	n	w	n	w			
F1	1	ɿ		FALSE	nɿkʲ	nɿkʲ	nɿkʲʃɪx	n	kʲ	n	kʲ			
F1	1	i		FALSE	nim	nim	nimpæː	n	m	n	m			
F1	1	ɿ		FALSE	nɿ+lʲ	nɿ+lʲ	nɿlʲʊːn	n	+lʲ	n	+lʲ			
F1	1	i		FALSE	nil	nil	niltʃʰkɐi	n	l	n	l			
F1	1	ɪ		FALSE	nɪs	nɪs	nɪslɐx	n	s	n	s			
F1	1	i		FALSE	ni+s	ni+s	nisʊltʰ	n	+s	n	+s			
F1	1	i		FALSE	ni+ʃ	ni+ʃ	niʃʊːn	n	+ʃ	n	+ʃ			
F1	1	ɪ		FALSE	nɪt	nɪt	nɪtnɐːn	n	t	n	t			
F1	1	ɪ		FALSE	nɪtʃʰ	nɪtʃʰ	nɪtʃʰlɐx	n	tʃʰ	n	tʃʰ			
F1	1	ɪ		FALSE	nɪ+tʃʰ	nɪ+tʃʰ	nɪtʃʰɐːx	n	+tʃʰ	n	+tʃʰ			
F1	1	i		FALSE	ni+tʃ	nitʃ	nitʃkǝːt	n	tʃ	n	+tʃ			
F1	1	i		FALSE	ni+tʃ	ni+tʃ	nitʃiknǝx	n	+tʃ	n	+tʃ			
F1	1	i		FALSE	ni+r	ni+r	nirɐi	n	+r	n	+r			
